Interval start timestamp: 2020-12-25T00:00:00.000Z
Interval end timestamp: 2021-01-01T00:00:00.000Z
Interval start block: 11519440
Interval end block: 11565019
Interval total rewards: 4249428480000000000000000 KEEP

Rewards weight sum 208886975721588692178861
Total rewards sum 3276877990435664598345680
┌─────────┬──────────────────────────────────────────────┬──────────────┬──────────────────────────┬───────────────────────┬────────────────────────────┬─────────────────────┬─────────────────────────────────┬─────────────┬─────────────────┬───────────┬────────────────┬────────────────────┬──────────────┬─────────────┬──────────────┬───────────┬─────────────┬──────────────┬───────────┬───────────┬────────┬──────────────┬──────────────┐
│ (index) │                   operator                   │ isFraudulent │ factoryAuthorizedAtStart │ poolAuthorizedAtStart │ poolDeauthorizedInInterval │ minimumStakeAtStart │ poolRequirementFulfilledAtStart │ keygenCount │ keygenFailCount │ keygenSLA │ signatureCount │ signatureFailCount │ signatureSLA │ SLAViolated │  keepStaked  │ ethBonded │ ethUnbonded │ ethWithdrawn │ ethTotal  │ ethScore  │ boost  │ rewardWeight │ totalRewards │
│   33    │ '0xD072bB639cA5933f5CA6DC4deebD259066547087' │    false     │           true           │         true          │           false            │        true         │              true               │      0      │        0        │   'N/A'   │       0        │         0          │    'N/A'     │    false    │  '99200.00'  │  '0.00'   │   '17.76'   │   '17.76'    │  '0.00'   │  '0.00'   │ '2.42' │    '0.00'    │    '0.00'    │
│   34    │ '0x0ee446643973b3F5FeD132D0455fEa23fbad0D1E' │    false     │           true           │         true          │           false            │        true         │              true               │      7      │        0        │    100    │       8        │         0          │     100      │    false    │ '3324533.00' │ '262.71'  │   '5.89'    │    '0.00'    │ '268.60'  │ '268.60'  │ '5.98' │  '1604.99'   │  '32650.60'  │
│   35    │ '0x1b3aCBbE36316ae74D4BeC49865660b59ff69c7b' │    false     │           true           │         true          │           false            │        true         │              true               │      0      │        0        │   'N/A'   │       0        │         0          │    'N/A'     │    false    │ '115000.00'  │  '19.72'  │   '15.28'   │    '0.00'    │  '35.00'  │  '35.00'  │ '2.64' │   '92.50'    │  '1881.75'   │
│   36    │ '0x5Df67a14Bf26981543A2Ea33C2EE454CFA42aDA5' │    false     │           true           │         true          │           false            │        true         │              true               │     13      │        0        │    100    │       9        │         1          │      88      │    false    │ '4120827.31' │ '419.47'  │   '6.01'    │    '1.22'    │ '424.26'  │ '424.26'  │ '5.41' │  '2294.17'   │  '46670.66'  │
│   37    │ '0x2acE976116c36a524B6bEa125B6fdFB897490941' │    false     │           true           │         true          │           false            │        true         │              true               │      3      │        1        │    66     │       7        │         0          │     100      │    false    │ '325575.00'  │ '438.12'  │   '1.37'    │   '235.00'   │ '204.49'  │ '204.49'  │ '2.78' │   '569.40'   │  '11583.33'  │
│   38    │ '0xB7a764884a2fBcfC7177b5c53A7797EE7fF4Bb39' │    false     │           true           │         true          │           false            │        true         │              true               │     16      │        1        │    93     │       10       │         0          │     100      │    false    │ '803943.00'  │ '1974.71' │   '57.81'   │    '0.00'    │ '2032.51' │ '2032.51' │ '1.89' │  '3840.29'   │  '78123.78'  │
│   39    │ '0xaaFab076DA8d1C885F492bad4e2C259F0b6448F8' │    false     │           true           │         true          │           false            │        true         │              true               │      0      │        0        │   'N/A'   │       0        │         0          │    'N/A'     │    false    │ '100000.00'  │  '0.00'   │   '0.00'    │    '0.00'    │  '0.00'   │  '0.00'   │ '1.00' │    '0.00'    │    '0.00'    │
│   40    │ '0x0000000000058fDe63cA64995c9A7E40196Af9F9' │    false     │           true           │         true          │           false            │        true         │              true               │      1      │        0        │    100    │       1        │         0          │     100      │    false    │ '100000.00'  │  '17.35'  │   '2.65'    │    '0.00'    │  '20.00'  │  '20.00'  │ '2.43' │   '48.57'    │   '988.10'   │
│   41    │ '0xABFB52f4CfAC3e6631c19a7e4Aa752110E1187B5' │    false     │           true           │         true          │           false            │        true         │              true               │      5      │        2        │    60     │       2        │         0          │     100      │    true     │ '445297.00'  │ '181.44'  │   '3.21'    │    '0.00'    │ '184.65'  │ '184.65'  │ '3.20' │   '590.18'   │    '0.00'    │
│   42    │ '0xa62E990E0229A3247270d6206adf3d883dbED919' │    false     │           true           │         true          │           false            │        true         │              true               │     16      │        1        │    93     │       10       │         0          │     100      │    false    │ '415866.67'  │ '1941.51' │   '1.23'    │   '205.00'   │ '1737.74' │ '1737.74' │ '1.69' │  '2939.97'   │  '59808.29'  │
│   43    │ '0x9c06Feb7Ebc8065ee11Cd5E8EEdaAFb2909A7087' │    false     │           true           │         true          │           false            │        true         │              true               │      8      │        0        │    100    │       6        │         0          │     100      │    false    │ '3424796.00' │ '626.04'  │   '9.10'    │    '0.00'    │ '635.14'  │ '635.14'  │ '4.28' │  '2720.91'   │  '55351.97'  │
