Interval start timestamp: 2020-11-13T00:00:00.000Z
Interval end timestamp: 2020-11-20T00:00:00.000Z
Interval total rewards: 3934656000000000000000000 KEEP
Interval start block: 11245937
Interval end block: 11291625

Rewards weight sum 125507558529059133936391
Total rewards sum 3854303531886365633282922
┌─────────┬──────────────────────────────────────────────┬──────────────┬──────────────────────────┬───────────────────────┬────────────────────────────┬─────────────────────┬─────────────────────────────────┬─────────────┬─────────────────┬───────────┬────────────────┬────────────────────┬──────────────┬─────────────┬──────────────┬───────────┬─────────────┬──────────────┬───────────┬───────────┬────────┬──────────────┬──────────────┐
│ (index) │                   operator                   │ isFraudulent │ factoryAuthorizedAtStart │ poolAuthorizedAtStart │ poolDeauthorizedInInterval │ minimumStakeAtStart │ poolRequirementFulfilledAtStart │ keygenCount │ keygenFailCount │ keygenSLA │ signatureCount │ signatureFailCount │ signatureSLA │ SLAViolated │  keepStaked  │ ethBonded │ ethUnbonded │ ethWithdrawn │ ethTotal  │ ethScore  │ boost  │ rewardWeight │ totalRewards │
│   31    │ '0x003428E767ece053974bdC155BC129cae491EBe2' │    false     │           true           │         true          │           false            │        true         │              true               │     11      │        0        │    100    │       2        │         0          │     100      │    false    │ '543464.00'  │ '1113.93' │   '84.98'   │   '20.59'    │ '1178.31' │ '1178.31' │ '1.96' │  '2310.01'   │  '72418.83'  │
│   32    │ '0x4a41c7a884d119eaaefE471D0B3a638226408382' │    false     │           true           │         true          │           false            │        true         │              true               │      2      │        0        │    100    │       2        │         0          │     100      │    false    │ '973795.00'  │ '294.66'  │   '23.46'   │    '0.00'    │ '318.12'  │ '318.12'  │ '3.47' │  '1105.25'   │  '34649.38'  │
│   33    │ '0xD072bB639cA5933f5CA6DC4deebD259066547087' │    false     │           true           │         true          │           false            │        true         │              true               │      0      │        0        │   'N/A'   │       0        │         0          │    'N/A'     │    false    │  '99200.00'  │  '0.00'   │   '33.01'   │    '0.00'    │  '33.01'  │  '33.01'  │ '2.42' │   '79.79'    │  '2501.42'   │
│   34    │ '0x0ee446643973b3F5FeD132D0455fEa23fbad0D1E' │    false     │           true           │         true          │           false            │        true         │              true               │      1      │        0        │    100    │       2        │         0          │     100      │    false    │ '3324533.00' │  '72.09'  │   '13.66'   │    '0.00'    │  '85.75'  │  '85.75'  │ '9.81' │   '840.84'   │  '26360.36'  │
│   35    │ '0x1b3aCBbE36316ae74D4BeC49865660b59ff69c7b' │    false     │           true           │         true          │           false            │        true         │              true               │      1      │        0        │    100    │       0        │         0          │    'N/A'     │    false    │ '115000.00'  │  '0.15'   │   '34.85'   │    '0.00'    │  '35.00'  │  '35.00'  │ '2.64' │   '92.50'    │  '2899.87'   │
│   36    │ '0x5Df67a14Bf26981543A2Ea33C2EE454CFA42aDA5' │    false     │           true           │         true          │           false            │        true         │              true               │      4      │        0        │    100    │       0        │         0          │    'N/A'     │    false    │ '100000.00'  │  '80.83'  │   '19.17'   │    '0.00'    │ '100.00'  │ '100.00'  │ '2.41' │   '241.42'   │  '7568.55'   │
│   37    │ '0x2acE976116c36a524B6bEa125B6fdFB897490941' │    false     │           true           │         true          │           false            │        true         │              true               │      4      │        0        │    100    │       0        │         0          │    'N/A'     │    false    │ '110050.00'  │  '0.18'   │   '68.68'   │   '100.00'   │  '0.00'   │  '0.00'   │ '1.00' │    '0.00'    │    '0.00'    │
│   38    │ '0xB7a764884a2fBcfC7177b5c53A7797EE7fF4Bb39' │    false     │           true           │         true          │           false            │        true         │              true               │      5      │        0        │    100    │       5        │         0          │     100      │    false    │ '160000.00'  │ '1941.56' │  '100.61'   │    '1.00'    │ '2041.16' │ '2041.16' │ '1.40' │  '2849.36'   │  '89327.16'  │
│   39    │ '0xaaFab076DA8d1C885F492bad4e2C259F0b6448F8' │    false     │           true           │         true          │           false            │        true         │              true               │      0      │        0        │   'N/A'   │       0        │         0          │    'N/A'     │    false    │ '100000.00'  │  '0.00'   │   '0.00'    │    '0.00'    │  '0.00'   │  '0.00'   │ '1.00' │    '0.00'    │    '0.00'    │
│   40    │ '0x0000000000058fDe63cA64995c9A7E40196Af9F9' │    false     │           true           │         true          │           false            │        true         │              true               │      1      │        0        │    100    │       0        │         0          │    'N/A'     │    false    │ '100000.00'  │  '0.18'   │   '19.82'   │    '0.00'    │  '20.00'  │  '20.00'  │ '2.43' │   '48.57'    │  '1522.71'   │
│   41    │ '0xABFB52f4CfAC3e6631c19a7e4Aa752110E1187B5' │    false     │           true           │         true          │           false            │        true         │              true               │      1      │        0        │    100    │       1        │         0          │     100      │    false    │ '445297.00'  │ '177.45'  │   '7.20'    │    '0.00'    │ '184.65'  │ '184.65'  │ '3.20' │   '590.18'   │  '18502.04'  │
│   42    │ '0xa62E990E0229A3247270d6206adf3d883dbED919' │    false     │           true           │         true          │           false            │        true         │              true               │      7      │        0        │    100    │       5        │         0          │     100      │    false    │ '415866.67'  │ '3833.08' │   '6.21'    │  '1290.00'   │ '2549.29' │ '2549.29' │ '1.57' │  '4005.42'   │ '125569.76'  │
│   43    │ '0x9c06Feb7Ebc8065ee11Cd5E8EEdaAFb2909A7087' │    false     │           true           │         true          │           false            │        true         │              true               │      8      │        0        │    100    │       4        │         0          │     100      │    false    │ '3424796.00' │ '616.67'  │   '34.20'   │    '0.00'    │ '650.87'  │ '650.87'  │ '4.24' │  '2762.31'   │  '86598.25'  │
│   44    │ '0x2495512e37f9B2A8fd9B071eA477e282D51508c6' │    false     │           true           │         true          │           false            │        false        │              true               │      0      │        0        │   'N/A'   │       0        │         0          │    'N/A'     │    false    │    '0.00'    │  '0.00'   │   '0.00'    │    '0.00'    │  '0.00'   │  '0.00'   │ '1.00' │    '0.00'    │    '0.00'    │
│   45    │ '0xAA7B9D0Fe0867B227C9fC33B6022E9fD6e848EE1' │    false     │           true           │         true          │           false            │        false        │              true               │      0      │        0        │   'N/A'   │       0        │         0          │    'N/A'     │    false    │    '0.00'    │  '0.00'   │   '0.00'    │    '0.00'    │  '0.00'   │  '0.00'   │ '1.00' │    '0.00'    │    '0.00'    │
│   46    │ '0x8DDD2077415D58f7047fc9143b4146b342055f1b' │    false     │           true           │         true          │           false            │        false        │              true               │      0      │        0        │   'N/A'   │       0        │         0          │    'N/A'     │    false    │    '0.00'    │  '0.00'   │   '0.00'    │    '0.00'    │  '0.00'   │  '0.00'   │ '1.00' │    '0.00'    │    '0.00'    │
│   47    │ '0x36C56A69c2aeA23879b59dB0e99D57eF2ff77f06' │    false     │           true           │         true          │           false            │        true         │              true               │     21      │        0        │    100    │       13       │         0          │     100      │    false    │ '200000.00'  │ '6617.93' │   '47.00'   │    '0.00'    │ '6664.93' │ '5943.11' │ '1.24' │  '7399.06'   │ '231960.04'  │
│   48    │ '0xD52BfE62a163eB4eC8FC98f06eD3f02695ae491d' │    false     │           true           │         true          │           false            │        true         │              true               │      0      │        0        │   'N/A'   │       0        │         0          │    'N/A'     │    false    │  '99200.00'  │ '264.48'  │   '15.33'   │    '0.00'    │ '279.81'  │ '279.81'  │ '1.84' │   '515.43'   │  '16158.65'  │
│   49    │ '0x80D43312D0D13237F2D75ae7c1292200Ba59036a' │    false     │           true           │         true          │           false            │        false        │              true               │      0      │        0        │   'N/A'   │       0        │         0          │    'N/A'     │    false    │    '0.00'    │  '0.00'   │   '0.00'    │    '0.00'    │  '0.00'   │  '0.00'   │ '1.00' │    '0.00'    │    '0.00'    │
│   50    │ '0xd1F560e0CdB488CD0F646642b3247136ff12FA10' │    false     │           true           │         true          │           false            │        true         │              true               │      2      │        0        │    100    │       0        │         0          │    'N/A'     │    false    │ '149200.00'  │  '0.00'   │   '33.00'   │    '0.00'    │  '33.00'  │  '33.00'  │ '3.13' │   '103.34'   │  '3239.61'   │
│   51    │ '0x1d803c89760F8B4057DB15BCb3B8929E0498D310' │    false     │           true           │         true          │           false            │        true         │              true               │      0      │        0        │   'N/A'   │       0        │         0          │    'N/A'     │    false    │  '90000.00'  │  '0.15'   │   '25.85'   │    '0.00'    │  '26.00'  │  '26.00'  │ '2.29' │   '59.43'    │  '1863.08'   │
│   52    │ '0xe02b7BD9a4E57500BB490e0b0035bE49BA7c83e6' │    false     │           true           │         true          │           false            │        true         │              true               │      1      │        0        │    100    │       0        │         0          │    'N/A'     │    false    │  '90000.00'  │  '0.15'   │   '25.85'   │    '0.00'    │  '26.00'  │  '26.00'  │ '2.29' │   '59.43'    │  '1863.08'   │
│   53    │ '0x9bD818Ab6ACC974f2Cf2BD2EBA7a250126Accb9F' │    false     │           true           │         true          │           false            │        true         │              true               │      0      │        0        │   'N/A'   │       0        │         0          │    'N/A'     │    false    │ '499200.00'  │  '1.30'   │   '0.17'    │    '0.00'    │  '1.47'   │  '1.47'   │ '8.13' │   '11.99'    │   '375.88'   │
│   54    │ '0xc010B84528b0809295Fcd21CB37415E8c532343A' │    false     │           true           │         true          │           false            │        true         │              true               │     20      │        0        │    100    │       15       │         0          │     100      │    false    │ '9276934.00' │ '3387.60' │   '7.80'    │    '0.00'    │ '3395.40' │ '3383.16' │ '3.34' │  '11291.67'  │ '353993.43'  │
│   55    │ '0x44f07be8D08a7Ec1b4BDB92685dA64C02622CFc5' │    false     │           true           │         true          │           false            │        true         │              true               │      2      │        0        │    100    │       1        │         0          │     100      │    false    │ '1010095.00' │ '258.59'  │   '7.41'    │    '0.00'    │ '265.99'  │ '265.99'  │ '3.76' │   '999.04'   │  '31319.86'  │
│   56    │ '0x3101927DEeC27A2bfA6c4a6316e3A221f631dB91' │    false     │           true           │         true          │           false            │        true         │              true               │      0      │        0        │   'N/A'   │       0        │         0          │    'N/A'     │    false    │ '598400.00'  │ '172.82'  │   '0.00'    │    '0.00'    │ '172.82'  │ '172.82'  │ '3.63' │   '627.60'   │  '19675.32'  │
│   57    │ '0x884e30892B185330478D0D18d0aE665113B98027' │    false     │           true           │         true          │           false            │        true         │              true               │      4      │        0        │    100    │       2        │         0          │     100      │    false    │ '647600.00'  │  '83.79'  │   '0.00'    │    '0.00'    │  '83.79'  │  '83.79'  │ '4.93' │   '413.23'   │  '12954.65'  │
│   58    │ '0x6e9D6BA71C5c313cc4d22791720943D65A5495da' │    false     │           true           │         true          │           false            │        true         │              true               │      1      │        0        │    100    │       0        │         0          │    'N/A'     │    false    │ '133000.00'  │  '0.53'   │   '59.47'   │    '0.00'    │  '60.00'  │  '60.00'  │ '2.90' │   '174.00'   │  '5454.89'   │
│   59    │ '0x0ebB4fA9Dabe68Ad18E845d1f915010203e16191' │    false     │           true           │         true          │           false            │        true         │              true               │      0      │        0        │   'N/A'   │       0        │         0          │    'N/A'     │    false    │  '90000.00'  │  '18.02'  │   '7.93'    │    '0.00'    │  '25.95'  │  '25.95'  │ '2.29' │   '59.32'    │  '1859.53'   │
│   60    │ '0xe26E2d93Bbc8fde0e1E3B290Fc927Fb374E7e34e' │    false     │           true           │         true          │           false            │        true         │              true               │      3      │        0        │    100    │       1        │         0          │     100      │    false    │ '700000.00'  │  '95.16'  │   '36.61'   │    '0.00'    │ '131.77'  │ '131.77'  │ '4.26' │   '561.28'   │  '17596.09'  │
│   61    │ '0x5d84DEB482E770479154028788Df79aA7C563aA4' │    false     │           true           │         true          │           false            │        true         │              true               │      1      │        0        │    100    │       1        │         0          │     100      │    false    │ '399370.00'  │  '17.51'  │   '32.44'   │    '0.00'    │  '49.95'  │  '49.95'  │ '5.00' │   '249.69'   │  '7827.88'   │
│   62    │ '0x3a0495aD7EFdAe541455846fFe4a6D3858211C4E' │    false     │           true           │         true          │           false            │        true         │              true               │     23      │        0        │    100    │       10       │         0          │     100      │    false    │ '301501.00'  │ '5965.21' │   '64.83'   │    '0.00'    │ '6030.04' │ '5506.50' │ '1.32' │  '7247.80'   │ '227218.27'  │
│   63    │ '0x65aB6C2262bf24973D746D18af1794dA52183187' │    false     │           true           │         true          │           false            │        true         │              true               │      2      │        0        │    100    │       0        │         0          │    'N/A'     │    false    │  '90000.00'  │  '87.24'  │   '59.02'   │    '0.00'    │ '146.27'  │ '146.27'  │ '2.11' │   '308.52'   │  '9672.22'   │
│   64    │ '0x78c0eF874Df6cb2cD7E724bdF3Ce68f431b79748' │    false     │           true           │         true          │           false            │        true         │              true               │      0      │        0        │   'N/A'   │       0        │         0          │    'N/A'     │    false    │ '116009.00'  │ '107.88'  │   '10.78'   │    '0.00'    │ '118.66'  │ '118.66'  │ '2.40' │   '284.58'   │  '8921.71'   │
│   65    │ '0x04Cb8D907FdA121FD3Dd70bD2eF9C7841f70Ed3f' │    false     │           true           │         true          │           false            │        true         │              true               │      0      │        0        │   'N/A'   │       0        │         0          │    'N/A'     │    false    │ '101000.00'  │  '0.00'   │   '1.00'    │    '0.00'    │  '1.00'   │  '1.00'   │ '2.44' │    '2.44'    │   '76.58'    │
│   66    │ '0xC6325112d6d0a1bb44B3EE2Da080a79e99fe4cfe' │    false     │           true           │         true          │           false            │        true         │              true               │      1      │        0        │    100    │       0        │         0          │    'N/A'     │    false    │  '80000.00'  │ '347.68'  │   '34.02'   │    '0.00'    │ '381.70'  │ '381.70'  │ '1.65' │   '628.83'   │  '19713.79'  │
│   67    │ '0x7cec09487d293ABE8fEd007222cD6aD6F1ecDdA1' │    false     │          false           │         false         │           false            │        false        │              true               │      0      │        0        │   'N/A'   │       0        │         0          │    'N/A'     │    false    │    '0.00'    │  '0.00'   │   '0.00'    │    '0.00'    │  '0.00'   │  '0.00'   │ '1.00' │    '0.00'    │    '0.00'    │
│   68    │ '0xB352A86CF41506D0CB2e762A5F1118FFA25f2dab' │    false     │          false           │         false         │           false            │        false        │              true               │      0      │        0        │   'N/A'   │       0        │         0          │    'N/A'     │    false    │    '0.00'    │  '0.00'   │   '0.00'    │    '0.00'    │  '0.00'   │  '0.00'   │ '1.00' │    '0.00'    │    '0.00'    │
│   69    │ '0x062D1D3E1BdC9c567B1982da7A83D48958D617d2' │    false     │           true           │         true          │           false            │        true         │              true               │      1      │        0        │    100    │       0        │         0          │    'N/A'     │    false    │ '200000.00'  │  '0.00'   │   '28.05'   │    '0.00'    │  '28.05'  │  '28.05'  │ '3.86' │   '108.20'   │  '3391.92'   │
│   70    │ '0x650A9eD18Df873cad98C88dcaC8170531cAD2399' │    false     │           true           │         true          │           false            │        true         │              true               │      5      │        0        │    100    │       8        │         0          │     100      │    false    │ '6417600.46' │ '993.45'  │   '6.35'    │    '0.00'    │ '999.80'  │ '999.80'  │ '4.58' │  '4582.07'   │ '143647.70'  │
│   71    │ '0x4F4f0D0dfd93513B3f4Cb116Fe9d0A005466F725' │    false     │           true           │         true          │           false            │        true         │              true               │      2      │        0        │    100    │       1        │         0          │     100      │    false    │ '1748111.00' │ '1571.74' │   '0.15'    │    '0.00'    │ '1571.89' │ '1571.89' │ '2.49' │  '3916.18'   │ '122772.14'  │
